Supply_ID,Year,Majority_Type_of_State,Number_of_States
SUPPLY045,2018,0,14
SUPPLY045,2019,0,32
SUPPLY045,2020,0,8
SUPPLY045,2022,1,324
SUPPLY045,2023,1,364
SUPPLY046,2017,1,1
SUPPLY046,2018,25,11
SUPPLY046,2022,1,325
SUPPLY046,2023,1,363
SUPPLY047,2017,1,1
SUPPLY047,2018,0,13
SUPPLY047,2022,1,333
SUPPLY047,2023,0,362
SUPPLY048,2017,0,1
SUPPLY048,2018,0,11
SUPPLY048,2022,1,334
SUPPLY048,2023,0,366
SUPPLY049,2017,1,1
SUPPLY049,2018,1,11
SUPPLY049,2022,0,325
SUPPLY049,2023,0,365
SUPPLY050,2017,0,1
SUPPLY050,2018,0,17
SUPPLY050,2019,0,3
SUPPLY050,2022,0,340
SUPPLY050,2023,0,361
SUPPLY051,2017,1,1
SUPPLY051,2018,0,17
SUPPLY051,2019,0,3
SUPPLY051,2022,0,326
SUPPLY051,2023,0,369
SUPPLY052,2017,0,1
SUPPLY052,2018,0,14
SUPPLY052,2022,0,338
SUPPLY052,2023,0,360
SUPPLY053,2017,1,1
SUPPLY053,2018,0,11
SUPPLY053,2022,1,333
SUPPLY053,2023,0,334
SUPPLY054,2017,1,1
SUPPLY054,2018,1,17
SUPPLY054,2019,0,3
SUPPLY054,2022,0,338
SUPPLY054,2023,0,352
SUPPLY055,2017,0,1
SUPPLY055,2018,0,11
SUPPLY055,2022,0,325
SUPPLY055,2023,0,364
SUPPLY056,2017,1,1
SUPPLY056,2018,1,17
SUPPLY056,2022,1,322
SUPPLY056,2023,1,354
SUPPLY057,2017,1,1
SUPPLY057,2018,1,11
SUPPLY057,2022,1,371
SUPPLY057,2023,1,565
SUPPLY058,2017,1,1
SUPPLY058,2018,1,17
SUPPLY058,2019,1,3
SUPPLY058,2022,0,326
SUPPLY058,2023,0,364
SUPPLY059,2017,1,1
SUPPLY059,2018,1,11
SUPPLY059,2022,1,324
SUPPLY059,2023,1,365
SUPPLY060,2017,1,1
SUPPLY060,2018,25,16
SUPPLY060,2022,1,338
SUPPLY060,2023,1,362
SUPPLY061,2017,0,1
SUPPLY061,2018,0,17
SUPPLY061,2019,0,3
SUPPLY061,2022,0,330
SUPPLY061,2023,0,360
SUPPLY062,2017,1,1
SUPPLY062,2018,1,11
SUPPLY062,2022,1,325
SUPPLY062,2023,1,364
SUPPLY063,2017,0,1
SUPPLY063,2018,0,17
SUPPLY063,2019,0,3
SUPPLY063,2022,0,336
SUPPLY063,2023,0,361
SUPPLY064,2017,1,1
SUPPLY064,2018,1,13
SUPPLY064,2022,1,276
SUPPLY064,2023,0,379
SUPPLY065,2017,1,1
SUPPLY065,2018,1,11
SUPPLY065,2022,0,324
SUPPLY065,2023,0,364
SUPPLY066,2017,1,1
SUPPLY066,2018,25,11
SUPPLY066,2022,1,324
SUPPLY066,2023,1,365
SUPPLY067,2017,1,1
SUPPLY067,2018,1,3
SUPPLY067,2022,0,31
SUPPLY068,2017,1,1
SUPPLY068,2018,1,17
SUPPLY068,2019,1,3
SUPPLY068,2022,0,324
SUPPLY068,2023,0,367
SUPPLY069,2017,1,1
SUPPLY069,2018,19,5
SUPPLY069,2022,0,325
SUPPLY069,2023,0,360
SUPPLY070,2017,1,1
SUPPLY070,2018,0,17
SUPPLY070,2019,0,3
SUPPLY070,2022,0,330
SUPPLY070,2023,0,363
SUPPLY071,2017,1,1
SUPPLY071,2018,25,17
SUPPLY071,2019,25,3
SUPPLY071,2022,8,123
SUPPLY071,2023,0,362
SUPPLY072,2017,1,1
SUPPLY072,2018,0,11
SUPPLY072,2021,0,32
SUPPLY072,2023,0,248
SUPPLY073,2017,0,1
SUPPLY073,2018,0,17
SUPPLY073,2019,0,3
SUPPLY073,2023,1,315
SUPPLY074,2017,1,1
SUPPLY074,2018,1,12
SUPPLY074,2022,1,325
SUPPLY074,2023,1,361
SUPPLY075,2017,1,1
SUPPLY075,2018,0,18
SUPPLY075,2019,0,3
SUPPLY075,2022,0,326
SUPPLY075,2023,0,365
SUPPLY076,2017,1,1
SUPPLY076,2018,1,18
SUPPLY076,2022,1,326
SUPPLY076,2023,1,363
SUPPLY077,2017,1,1
SUPPLY077,2018,1,17
SUPPLY077,2019,1,3
SUPPLY077,2022,1,116
SUPPLY077,2023,1,236
SUPPLY078,2017,0,1
SUPPLY078,2018,0,16
SUPPLY078,2019,1,3
SUPPLY078,2022,0,324
SUPPLY078,2023,0,264
SUPPLY079,2017,1,1
SUPPLY079,2018,0,11
SUPPLY079,2022,0,337
SUPPLY079,2023,0,370
SUPPLY080,2017,1,1
SUPPLY080,2018,1,11
SUPPLY080,2022,0,325
SUPPLY080,2023,0,363
SUPPLY081,2017,1,1
SUPPLY081,2018,0,17
SUPPLY081,2019,0,3
SUPPLY081,2022,0,327
SUPPLY081,2023,0,365
SUPPLY082,2017,0,1
SUPPLY082,2018,0,10
SUPPLY082,2022,0,328
SUPPLY082,2023,0,362
SUPPLY083,2017,1,1
SUPPLY083,2018,1,10
SUPPLY083,2022,8,304
SUPPLY083,2023,1,365
SUPPLY084,2017,1,1
SUPPLY084,2018,0,11
SUPPLY084,2022,0,327
SUPPLY084,2023,0,364
SUPPLY085,2017,1,1
SUPPLY085,2018,1,16
SUPPLY085,2022,0,326
SUPPLY085,2023,0,365
SUPPLY086,2017,1,1
SUPPLY086,2018,1,17
SUPPLY086,2019,0,3
SUPPLY086,2022,0,327
SUPPLY086,2023,0,363
SUPPLY087,2017,1,1
SUPPLY087,2018,0,17
SUPPLY087,2019,0,3
SUPPLY087,2022,0,324
SUPPLY087,2023,0,360
SUPPLY088,2017,1,1
SUPPLY088,2018,0,17
SUPPLY088,2022,1,542
SUPPLY088,2023,0,401
SUPPLY089,2017,1,1
SUPPLY089,2018,1,11
SUPPLY089,2022,0,326
SUPPLY089,2023,0,363
SUPPLY090,2017,1,1
SUPPLY090,2018,1,13
SUPPLY090,2022,1,323
SUPPLY090,2023,1,363
SUPPLY091,2017,1,1
SUPPLY091,2018,1,18
SUPPLY091,2019,1,3
SUPPLY091,2022,1,326
SUPPLY091,2023,1,359
SUPPLY092,2017,0,1
SUPPLY092,2018,0,17
SUPPLY092,2019,0,3
SUPPLY092,2022,0,308
SUPPLY092,2023,0,377
SUPPLY093,2017,1,1
SUPPLY093,2018,0,16
SUPPLY093,2022,0,322
SUPPLY093,2023,0,360
SUPPLY094,2018,1,12
SUPPLY094,2022,0,330
SUPPLY094,2023,0,361
SUPPLY095,2017,1,1
SUPPLY095,2018,1,11
SUPPLY095,2022,0,325
SUPPLY095,2023,0,363
SUPPLY096,2017,1,1
SUPPLY096,2018,0,17
SUPPLY096,2019,0,3
SUPPLY096,2022,0,327
SUPPLY096,2023,0,365
SUPPLY097,2017,1,1
SUPPLY097,2018,0,5
SUPPLY097,2022,0,327
SUPPLY097,2023,0,358
SUPPLY098,2017,1,1
SUPPLY098,2018,1,15
SUPPLY098,2022,0,328
SUPPLY098,2023,0,364
SUPPLY099,2017,1,1
SUPPLY099,2018,1,17
SUPPLY099,2019,1,1
SUPPLY099,2022,1,326
SUPPLY099,2023,1,364
SUPPLY100,2017,1,1
SUPPLY100,2018,0,17
SUPPLY100,2019,0,3
SUPPLY100,2022,0,317
SUPPLY100,2023,0,361
