Supply_ID,Year,Number_of_Works,Majority_Type_of_Work,Majority_Sub_Type_of_Work
SUPPLY026,2021.0,3,3,7
SUPPLY026,2024.0,1,3,3
SUPPLY027,2017.0,1,5,6
SUPPLY027,2021.0,1,3,7
SUPPLY027,2022.0,2,0,8
SUPPLY028,2014.0,1,1,1
SUPPLY028,2015.0,2,7,9
SUPPLY028,2016.0,3,2,2
SUPPLY028,2017.0,3,5,6
SUPPLY028,2018.0,4,7,9
SUPPLY028,2021.0,3,3,7
SUPPLY028,2024.0,2,7,9
SUPPLY029,2017.0,1,5,6
SUPPLY029,2021.0,2,3,7
SUPPLY030,2018.0,1,0,0
SUPPLY030,2021.0,3,3,7
SUPPLY030,2023.0,1,0,0
SUPPLY031,2017.0,1,5,6
SUPPLY031,2018.0,1,2,2
SUPPLY031,2021.0,5,3,7
SUPPLY032,2017.0,1,5,6
SUPPLY032,2019.0,2,2,3
SUPPLY033,2015.0,5,7,9
SUPPLY033,2017.0,2,0,0
SUPPLY033,2020.0,2,0,0
SUPPLY033,2021.0,3,3,7
SUPPLY034,2014.0,2,7,9
SUPPLY034,2015.0,1,7,9
SUPPLY034,2016.0,1,2,2
SUPPLY034,2017.0,3,5,6
SUPPLY034,2018.0,5,7,9
SUPPLY034,2021.0,4,3,7
SUPPLY035,2017.0,1,5,6
SUPPLY035,2021.0,2,3,7
SUPPLY036,2010.0,4,7,9
SUPPLY036,2015.0,2,7,9
SUPPLY036,2017.0,1,5,6
SUPPLY036,2019.0,2,7,9
SUPPLY036,2021.0,3,3,7
SUPPLY037,2017.0,1,5,6
SUPPLY037,2021.0,3,3,7
SUPPLY038,2017.0,1,5,6
SUPPLY038,2019.0,1,3,3
SUPPLY038,2021.0,3,3,7
SUPPLY039,2017.0,1,5,6
SUPPLY039,2019.0,3,2,9
SUPPLY040,2017.0,1,5,6
SUPPLY040,2018.0,2,7,9
SUPPLY040,2021.0,2,3,7
SUPPLY040,2024.0,1,11,18
SUPPLY041,2017.0,1,5,6
SUPPLY041,2021.0,3,3,7
SUPPLY042,2017.0,1,5,6
SUPPLY042,2019.0,4,7,9
SUPPLY042,2021.0,3,3,7
SUPPLY042,2024.0,1,11,18
SUPPLY043,2015.0,2,7,9
SUPPLY043,2017.0,7,7,9
SUPPLY043,2018.0,2,7,9
SUPPLY043,2019.0,2,7,9
SUPPLY043,2021.0,5,3,7
SUPPLY043,2023.0,4,7,9
SUPPLY043,2024.0,4,7,9
SUPPLY044,2011.0,2,7,9
SUPPLY044,2015.0,2,7,9
SUPPLY044,2016.0,2,7,9
SUPPLY044,2017.0,3,5,6
SUPPLY044,2018.0,4,7,9
SUPPLY044,2019.0,2,7,9
SUPPLY044,2020.0,3,8,9
SUPPLY044,2021.0,5,3,7
SUPPLY044,2022.0,6,7,9
SUPPLY045,2017.0,1,5,6
SUPPLY045,2021.0,1,3,7
SUPPLY045,2024.0,1,3,7
SUPPLY046,2017.0,1,5,6
SUPPLY046,2019.0,4,7,9
SUPPLY046,2021.0,3,3,7
SUPPLY046,2024.0,1,11,18
SUPPLY047,2017.0,2,2,2
SUPPLY047,2018.0,3,2,2
SUPPLY047,2019.0,8,7,9
SUPPLY047,2020.0,3,3,7
SUPPLY047,2021.0,2,3,7
SUPPLY048,2016.0,1,2,2
SUPPLY048,2017.0,1,5,6
SUPPLY048,2021.0,3,3,7
SUPPLY048,2023.0,2,7,9
SUPPLY048,2024.0,7,7,9
SUPPLY049,2017.0,1,5,6
SUPPLY049,2021.0,3,3,7
SUPPLY050,2017.0,1,5,6
SUPPLY050,2021.0,3,3,7
SUPPLY051,2017.0,1,5,6
SUPPLY051,2021.0,3,3,7
SUPPLY052,2017.0,1,5,6
SUPPLY052,2021.0,3,3,7
SUPPLY053,2017.0,1,5,6
SUPPLY053,2020.0,1,2,12
SUPPLY053,2021.0,2,3,7
SUPPLY053,2022.0,1,3,9
SUPPLY053,2023.0,2,6,3
SUPPLY053,2024.0,1,11,18
SUPPLY054,2017.0,1,5,6
SUPPLY054,2019.0,1,0,8
SUPPLY054,2021.0,3,3,7
SUPPLY054,2022.0,2,10,3
SUPPLY054,2023.0,2,7,9
SUPPLY054,2024.0,4,7,9
SUPPLY055,2017.0,1,5,6
SUPPLY055,2021.0,3,3,7
SUPPLY056,2017.0,1,5,6
SUPPLY056,2021.0,3,3,7
SUPPLY056,2024.0,1,0,0
SUPPLY057,2017.0,1,5,6
SUPPLY057,2021.0,3,3,7
SUPPLY057,2022.0,3,3,3
SUPPLY058,2013.0,2,7,9
SUPPLY058,2017.0,1,5,6
SUPPLY058,2019.0,1,0,8
SUPPLY058,2020.0,1,0,8
SUPPLY058,2021.0,2,3,7
SUPPLY059,2016.0,1,2,2
SUPPLY059,2021.0,3,3,7
SUPPLY059,2024.0,1,11,18
SUPPLY060,2017.0,1,5,6
SUPPLY060,2021.0,3,3,7
SUPPLY060,2023.0,1,3,9
SUPPLY061,2017.0,1,5,6
SUPPLY061,2021.0,3,3,7
SUPPLY061,2024.0,1,11,18
SUPPLY062,2013.0,1,3,3
SUPPLY062,2015.0,1,2,2
SUPPLY062,2021.0,3,3,7
SUPPLY063,2017.0,1,5,6
SUPPLY063,2021.0,3,3,7
SUPPLY064,2013.0,2,7,9
SUPPLY064,2017.0,1,5,6
SUPPLY064,2018.0,5,7,9
SUPPLY064,2019.0,2,7,9
SUPPLY065,2015.0,2,7,9
SUPPLY065,2017.0,5,7,9
SUPPLY065,2021.0,2,3,7
SUPPLY066,2014.0,4,7,9
SUPPLY066,2015.0,2,7,9
SUPPLY066,2017.0,1,5,6
SUPPLY066,2021.0,5,3,7
SUPPLY067,2017.0,1,5,6
SUPPLY067,2019.0,2,0,0
SUPPLY067,2020.0,1,2,12
SUPPLY067,2022.0,1,0,0
SUPPLY067,2024.0,3,6,1
SUPPLY068,2017.0,1,5,6
SUPPLY068,2020.0,1,3,7
SUPPLY068,2021.0,5,3,7
SUPPLY069,2017.0,1,5,6
SUPPLY069,2018.0,1,3,3
SUPPLY069,2019.0,2,3,3
SUPPLY069,2020.0,1,0,0
SUPPLY069,2021.0,2,3,7
SUPPLY070,2017.0,1,5,6
SUPPLY070,2021.0,4,3,7
SUPPLY071,2017.0,1,5,6
SUPPLY071,2020.0,1,3,9
SUPPLY071,2021.0,3,3,7
SUPPLY071,2024.0,3,7,9
SUPPLY072,2017.0,1,5,6
SUPPLY072,2021.0,2,3,7
SUPPLY073,2017.0,1,5,6
SUPPLY073,2021.0,2,3,7
SUPPLY074,2017.0,1,5,6
SUPPLY074,2020.0,1,3,7
SUPPLY074,2021.0,2,3,7
SUPPLY075,2017.0,1,5,6
SUPPLY075,2018.0,3,7,9
SUPPLY076,2015.0,1,2,2
SUPPLY076,2017.0,1,5,6
SUPPLY076,2021.0,1,3,7
SUPPLY077,2017.0,1,5,6
SUPPLY077,2021.0,3,3,7
SUPPLY078,2017.0,1,5,6
SUPPLY078,2019.0,1,2,12
SUPPLY078,2021.0,2,3,7
SUPPLY078,2023.0,3,6,1
SUPPLY078,2024.0,6,6,1
SUPPLY079,2017.0,1,5,6
SUPPLY079,2021.0,2,3,7
SUPPLY080,2016.0,1,0,0
SUPPLY080,2017.0,2,2,2
SUPPLY080,2021.0,2,3,7
SUPPLY081,2017.0,1,5,6
SUPPLY081,2021.0,2,3,7
SUPPLY082,2017.0,1,5,6
SUPPLY082,2019.0,1,0,0
SUPPLY083,2017.0,1,5,6
SUPPLY083,2021.0,2,3,7
SUPPLY083,2024.0,3,3,3
SUPPLY084,2012.0,2,7,9
SUPPLY084,2014.0,1,1,1
SUPPLY084,2017.0,1,5,6
SUPPLY084,2021.0,3,3,7
SUPPLY085,2017.0,1,5,6
SUPPLY085,2018.0,1,3,3
SUPPLY085,2019.0,3,3,3
SUPPLY085,2024.0,1,3,9
SUPPLY086,2017.0,1,5,6
SUPPLY087,2013.0,2,7,9
SUPPLY087,2017.0,1,5,6
SUPPLY087,2021.0,3,3,7
SUPPLY088,2017.0,1,5,6
SUPPLY088,2021.0,2,3,7
SUPPLY089,2013.0,5,7,9
SUPPLY089,2014.0,6,7,9
SUPPLY089,2017.0,1,5,6
SUPPLY089,2021.0,5,3,7
SUPPLY089,2022.0,2,7,9
SUPPLY090,2014.0,2,7,9
SUPPLY090,2017.0,5,7,9
SUPPLY090,2018.0,4,7,9
SUPPLY090,2020.0,1,2,12
SUPPLY090,2021.0,3,3,7
SUPPLY091,2017.0,1,5,6
SUPPLY091,2020.0,1,3,7
SUPPLY091,2021.0,2,3,7
SUPPLY092,2017.0,1,5,6
SUPPLY092,2021.0,3,3,7
SUPPLY093,2017.0,1,5,6
SUPPLY093,2020.0,1,2,12
SUPPLY093,2021.0,3,3,7
SUPPLY094,2017.0,1,5,6
SUPPLY094,2021.0,1,3,7
SUPPLY094,2022.0,1,0,0
SUPPLY095,2017.0,1,5,6
SUPPLY095,2021.0,3,3,7
SUPPLY096,2017.0,1,5,6
SUPPLY096,2021.0,3,3,7
SUPPLY097,2017.0,2,2,2
SUPPLY097,2021.0,1,2,12
SUPPLY097,2024.0,4,7,9
SUPPLY098,2017.0,2,2,2
SUPPLY098,2021.0,3,3,7
SUPPLY098,2024.0,2,7,9
SUPPLY099,2016.0,1,2,2
SUPPLY099,2017.0,1,5,6
SUPPLY099,2021.0,1,3,7
SUPPLY100,2011.0,2,7,9
SUPPLY100,2014.0,1,7,9
SUPPLY100,2017.0,1,5,6
SUPPLY100,2021.0,3,3,7
